,Rank,Name+Seed,Conference,W-L,AdjEM,AdjO,R_AdjO,AdjD,R_AdjD,AdjT,R_AdjT,Luck,R_Luck,AdjEM1,R_AdjEM1,OppO,R_OppO,OppD,R_OppD,AdjEM2,R_AdjEM2
52,53,VCU 11,CAA,28-12,+13.49,112.0,47,98.5,78,65.6,156,+.021,128,+4.79,70,105.8,74,101.0,75,+2.26,89
8,9,Purdue 3,B10,26-8,+24.79,115.9,18,91.1,8,66.0,136,+.007,161,+10.16,14,108.8,18,98.7,12,+1.21,120
34,35,Florida St. 10,ACC,23-11,+16.76,104.5,147,87.7,1,66.7,95,-.017,225,+7.01,44,107.1,41,100.1,46,-1.82,204
10,11,Notre Dame 2,BE,27-7,+23.25,120.9,3,97.7,66,63.1,277,+.074,24,+9.92,17,108.2,27,98.3,6,-3.83,257
2,3,Kansas 1,B12,35-3,+28.38,118.9,6,90.6,6,68.4,42,+.060,38,+7.75,32,108.2,28,100.5,61,-0.29,164
38,39,Richmond 12,A10,29-8,+16.01,112.6,41,96.5,54,62.1,309,+.052,52,+3.11,91,104.8,104,101.7,89,+1.00,124
52,53,VCU 11,CAA,28-12,+13.49,112.0,47,98.5,78,65.6,156,+.021,128,+4.79,70,105.8,74,101.0,75,+2.26,89
34,35,Florida St. 10,ACC,23-11,+16.76,104.5,147,87.7,1,66.7,95,-.017,225,+7.01,44,107.1,41,100.1,46,-1.82,204
2,3,Kansas 1,B12,35-3,+28.38,118.9,6,90.6,6,68.4,42,+.060,38,+7.75,32,108.2,28,100.5,61,-0.29,164
52,53,VCU 11,CAA,28-12,+13.49,112.0,47,98.5,78,65.6,156,+.021,128,+4.79,70,105.8,74,101.0,75,+2.26,89
52,53,VCU 11,CAA,28-12,+13.49,112.0,47,98.5,78,65.6,156,+.021,128,+4.79,70,105.8,74,101.0,75,+2.26,89
1,2,Duke 1,ACC,32-5,+28.42,119.7,5,91.3,9,68.6,40,+.017,140,+8.43,30,107.3,36,98.9,15,+3.48,64
207,208,Hampton 16,MEAC,24-9,-4.21,94.4,304,98.7,81,66.1,129,+.108,11,-10.70,337,97.4,331,108.1,338,-4.84,283
29,30,Michigan 8,B10,21-14,+17.69,112.8,39,95.1,37,61.5,322,-.014,218,+12.00,7,110.7,4,98.7,13,-1.19,189
61,62,Tennessee 9,SEC,19-15,+12.41,108.0,90,95.6,43,66.1,131,-.013,214,+9.07,22,108.6,19,99.6,28,+6.45,27
19,20,Arizona 5,P10,30-8,+19.65,117.4,12,97.8,67,65.3,170,+.064,32,+7.69,34,107.7,30,100.0,41,-0.36,166
89,90,Memphis 12,CUSA,25-10,+6.98,104.5,146,97.6,65,67.6,59,+.117,9,+2.11,104,104.8,100,102.7,121,-4.74,280
4,5,Texas 4,B12,28-8,+25.93,115.5,21,89.6,4,65.5,161,-.058,307,+7.61,35,107.5,34,99.9,37,+0.60,143
55,56,Oakland 13,Sum,25-10,+13.31,118.6,7,105.3,221,71.1,9,+.021,129,+2.01,106,106.0,68,104.0,180,+14.82,1
20,21,Cincinnati 6,BE,26-9,+19.41,111.1,55,91.7,13,62.6,293,+.040,80,+6.23,55,106.8,48,100.6,64,-9.35,334
41,42,Missouri 11,B12,23-11,+15.54,113.4,33,97.8,68,70.7,14,-.013,213,+6.50,52,106.9,44,100.4,59,-4.76,281
9,10,Connecticut 3,BE,32-9,+23.93,115.8,19,91.9,15,64.5,221,+.048,58,+12.78,2,110.1,8,97.4,2,-0.77,179
95,96,Bucknell 14,Pat,25-9,+6.57,105.8,116,99.2,88,64.5,216,+.068,28,-3.41,239,102.7,187,106.1,299,+1.56,109
33,34,Temple 7,A10,26-8,+16.84,110.5,60,93.7,26,64.2,232,+.014,144,+4.04,79,105.5,82,101.5,82,+5.83,38
45,46,Penn St. 10,B10,19-15,+14.88,113.1,35,98.3,76,59.4,339,+.037,85,+12.46,5,110.7,3,98.3,5,-0.62,172
7,8,San Diego St. 2,MWC,34-3,+24.98,114.1,28,89.1,2,62.3,306,+.059,43,+7.48,38,107.6,31,100.1,48,+4.10,56
118,119,Northern Colorado 15,BSky,21-11,+4.05,106.3,109,102.2,138,66.6,101,+.023,124,-2.41,210,102.4,203,104.8,227,+2.87,76
1,2,Duke 1,ACC,32-5,+28.42,119.7,5,91.3,9,68.6,40,+.017,140,+8.43,30,107.3,36,98.9,15,+3.48,64
29,30,Michigan 8,B10,21-14,+17.69,112.8,39,95.1,37,61.5,322,-.014,218,+12.00,7,110.7,4,98.7,13,-1.19,189
19,20,Arizona 5,P10,30-8,+19.65,117.4,12,97.8,67,65.3,170,+.064,32,+7.69,34,107.7,30,100.0,41,-0.36,166
4,5,Texas 4,B12,28-8,+25.93,115.5,21,89.6,4,65.5,161,-.058,307,+7.61,35,107.5,34,99.9,37,+0.60,143
20,21,Cincinnati 6,BE,26-9,+19.41,111.1,55,91.7,13,62.6,293,+.040,80,+6.23,55,106.8,48,100.6,64,-9.35,334
9,10,Connecticut 3,BE,32-9,+23.93,115.8,19,91.9,15,64.5,221,+.048,58,+12.78,2,110.1,8,97.4,2,-0.77,179
33,34,Temple 7,A10,26-8,+16.84,110.5,60,93.7,26,64.2,232,+.014,144,+4.04,79,105.5,82,101.5,82,+5.83,38
7,8,San Diego St. 2,MWC,34-3,+24.98,114.1,28,89.1,2,62.3,306,+.059,43,+7.48,38,107.6,31,100.1,48,+4.10,56
1,2,Duke 1,ACC,32-5,+28.42,119.7,5,91.3,9,68.6,40,+.017,140,+8.43,30,107.3,36,98.9,15,+3.48,64
19,20,Arizona 5,P10,30-8,+19.65,117.4,12,97.8,67,65.3,170,+.064,32,+7.69,34,107.7,30,100.0,41,-0.36,166
9,10,Connecticut 3,BE,32-9,+23.93,115.8,19,91.9,15,64.5,221,+.048,58,+12.78,2,110.1,8,97.4,2,-0.77,179
7,8,San Diego St. 2,MWC,34-3,+24.98,114.1,28,89.1,2,62.3,306,+.059,43,+7.48,38,107.6,31,100.1,48,+4.10,56
19,20,Arizona 5,P10,30-8,+19.65,117.4,12,97.8,67,65.3,170,+.064,32,+7.69,34,107.7,30,100.0,41,-0.36,166
9,10,Connecticut 3,BE,32-9,+23.93,115.8,19,91.9,15,64.5,221,+.048,58,+12.78,2,110.1,8,97.4,2,-0.77,179
9,10,Connecticut 3,BE,32-9,+23.93,115.8,19,91.9,15,64.5,221,+.048,58,+12.78,2,110.1,8,97.4,2,-0.77,179
9,10,Connecticut 3,BE,32-9,+23.93,115.8,19,91.9,15,64.5,221,+.048,58,+12.78,2,110.1,8,97.4,2,-0.77,179
6,7,Kentucky 4,SEC,29-9,+25.82,117.8,8,92.0,16,65.0,184,-.044,285,+9.81,18,108.4,23,98.5,10,+4.46,52
52,53,VCU 11,CAA,28-12,+13.49,112.0,47,98.5,78,65.6,156,+.021,128,+4.79,70,105.8,74,101.0,75,+2.26,89
35,36,Butler 8,Horz,28-10,+16.46,112.3,43,95.9,46,63.5,262,+.033,94,+6.11,57,106.4,61,100.3,54,+6.67,26
9,10,Connecticut 3,BE,32-9,+23.93,115.8,19,91.9,15,64.5,221,+.048,58,+12.78,2,110.1,8,97.4,2,-0.77,179
35,36,Butler 8,Horz,28-10,+16.46,112.3,43,95.9,46,63.5,262,+.033,94,+6.11,57,106.4,61,100.3,54,+6.67,26
9,10,Connecticut 3,BE,32-9,+23.93,115.8,19,91.9,15,64.5,221,+.048,58,+12.78,2,110.1,8,97.4,2,-0.77,179
